step,wallclock_sec,split,loss,tokens_per_sec
8200,4345.438616,val,1.474116,
8220,4356.231941,train,1.495098,46248.604723
8240,4366.417863,train,1.451926,64339.779480
8260,4376.604971,train,1.496853,64332.289605
8280,4386.789941,train,1.478888,64345.799446
8300,4396.973805,train,1.453878,64352.778716
8320,4407.158972,train,1.482762,64344.556804
8340,4417.344747,train,1.505579,64340.705671
8360,4427.529950,train,1.469169,64344.327862
8380,4437.716326,train,1.426083,64336.915233
8400,4447.903606,train,1.475938,64331.201054
8400,4451.279330,val,1.463579,
8420,4462.071660,train,1.430184,46256.176482
8440,4472.253820,train,1.437362,64363.551123
8460,4482.436556,train,1.448236,64359.914712
8480,4492.619015,train,1.426735,64361.665804
8500,4502.799546,train,1.413203,64373.852247
8520,4512.981226,train,1.479314,64366.586552
8540,4523.162917,train,1.530861,64366.518727
8560,4533.344219,train,1.413509,64368.974102
8580,4543.525339,train,1.459036,64370.130258
8600,4553.709991,train,1.421951,64347.805850
8600,4557.084931,val,1.453608,
8620,4567.869586,train,1.480759,46283.808850
8640,4578.052938,train,1.475934,64356.022565
8660,4588.235439,train,1.460599,64361.399066
8680,4598.419874,train,1.476211,64349.175157
8700,4608.602584,train,1.462602,64360.077460
8720,4618.784899,train,1.497549,64362.568513
8740,4628.967413,train,1.444595,64361.320702
8760,4639.150957,train,1.451695,64354.806648
8780,4649.332920,train,1.444273,64364.797513
8800,4659.517388,train,1.440448,64348.964259
8800,4662.891761,val,1.473689,
8820,4673.680007,train,1.475099,46273.929125
8840,4683.861969,train,1.449901,64364.802035
8860,4694.044639,train,1.407193,64360.333640
8880,4704.227713,train,1.475592,64357.776459
8900,4714.410721,train,1.496495,64358.189331
8920,4724.590991,train,1.483275,64375.506101
8940,4734.772449,train,1.469843,64367.989819
8960,4744.954099,train,1.465388,64366.774957
8980,4755.136764,train,1.465351,64360.362271
9000,4765.318480,train,1.487796,64366.361975
9000,4768.692859,val,1.467328,
9020,4779.441910,train,1.482622,46402.325736
9040,4789.623004,train,1.435871,64370.291550
9060,4799.805829,train,1.484545,64359.354142
9080,4809.986983,train,1.492671,64369.911686
9100,4820.169693,train,1.491220,64360.075953
9120,4830.353024,train,1.425766,64356.150638
9140,4840.538396,train,1.445337,64343.259988
9160,4850.722800,train,1.459288,64349.372498
9180,4860.906814,train,1.477142,64351.831085
9200,4871.089064,train,1.479119,64362.985968
9200,4874.463588,val,1.466749,
9220,4885.253108,train,1.456278,46269.272001
9240,4895.438578,train,1.452000,64342.639463
9260,4905.623699,train,1.432785,64344.838465
9280,4915.808340,train,1.498154,64347.876649
9300,4925.993503,train,1.521798,64344.576385
9320,4936.177084,train,1.474025,64354.571607
9340,4946.360362,train,1.467508,64356.488152
9360,4956.544983,train,1.457734,64348.001677
9380,4966.728254,train,1.457721,64356.527327
9400,4976.915232,train,1.440150,64333.116207
9400,4980.292323,val,1.465512,
9420,4991.087693,train,1.448120,46241.790004
9440,5001.270408,train,1.500762,64360.047322
9460,5011.452282,train,1.460912,64365.364207
9480,5021.634569,train,1.424270,64362.746345
9500,5031.817918,train,1.441106,64356.039139
9520,5042.001154,train,1.429799,64356.756356
9540,5052.184242,train,1.457530,64357.684543
9560,5062.366867,train,1.431860,64360.618453
9580,5072.547828,train,1.513706,64371.129681
9600,5082.729768,train,1.499654,64364.943707
9600,5086.104050,val,1.459546,
9620,5096.891227,train,1.447613,46277.719230
9640,5107.074524,train,1.478735,64356.364597
9660,5117.256589,train,1.421826,64364.153966
9680,5127.438970,train,1.469099,64362.157092
9700,5137.621043,train,1.490850,64364.101217
9720,5147.804606,train,1.443679,64354.686114
9740,5157.986936,train,1.471635,64362.481104
9760,5168.169665,train,1.434053,64359.955399
9780,5178.352636,train,1.444400,64358.428920
9800,5188.533969,train,1.469303,64368.782669
9800,5191.908352,val,1.468455,
9820,5202.675244,train,1.470049,46343.771289
9840,5212.857403,train,1.462608,64363.555644
9860,5223.041095,train,1.450579,64353.875531
9880,5233.225554,train,1.440302,64349.024515
9900,5243.408183,train,1.408697,64360.588314
9920,5253.589812,train,1.470694,64366.906088
9940,5263.771478,train,1.493854,64366.678494
9960,5273.955729,train,1.438051,64350.341147
9980,5284.137688,train,1.444996,64364.820121
10000,5294.320484,train,1.464648,64359.531956
10000,5297.695298,val,1.474850,
